Designator,Mid X,Mid Y,Rotation,Layer
A1,160.87,-74.17,0.0,top
C1,178.45,-51.23,0.0,top
C2,178.45,-53.74,0.0,top
D1,178.45,-56.25,0.0,top
D2,178.45,-58.76,0.0,top
D3,178.45,-61.27,0.0,top
J1,173.95,-89.54,0.0,top
J2,173.95,-81.07,0.0,top
J3,178.6,-89.54,0.0,top
J4,196.75,-65.44,0.0,top
J5,178.6,-81.07,0.0,top
J6,183.25,-81.07,0.0,top
J7,187.9,-81.07,0.0,top
J8,183.25,-89.54,0.0,top
R1,178.45,-63.78,0.0,top
R2,178.45,-66.29,0.0,top
R3,178.45,-68.8,0.0,top
U1,185.55,-68.475,180.0,top
